ID,Pred
2019_1101_1113,0.1743
2019_1101_1120,0.0380
2019_1101_1124,0.1438
2019_1101_1125,0.1494
2019_1101_1133,0.5283
2019_1101_1138,0.0415
2019_1101_1153,0.0546
2019_1101_1159,0.3512
2019_1101_1181,0.0051
2019_1101_1192,0.6347
2019_1101_1196,0.1102
2019_1101_1199,0.0500
2019_1101_1205,0.5726
2019_1101_1209,0.3402
2019_1101_1211,0.0047
2019_1101_1222,0.0311
2019_1101_1233,0.5887
2019_1101_1234,0.1714
2019_1101_1235,0.0557
2019_1101_1242,0.0425
2019_1101_1243,0.1084
2019_1101_1246,0.0278
2019_1101_1251,0.3042
2019_1101_1257,0.0492
2019_1101_1261,0.0615
2019_1101_1266,0.0666
2019_1101_1268,0.0812
2019_1101_1276,0.0284
2019_1101_1277,0.0205
2019_1101_1278,0.2107
2019_1101_1279,0.1601
2019_1101_1280,0.0553
2019_1101_1285,0.2787
2019_1101_1293,0.1338
2019_1101_1295,0.4989
2019_1101_1297,0.3053
2019_1101_1300,0.8040
2019_1101_1305,0.0503
2019_1101_1308,0.1467
2019_1101_1314,0.0101
2019_1101_1318,0.1826
2019_1101_1326,0.1436
2019_1101_1328,0.1490
2019_1101_1330,0.3324
2019_1101_1332,0.0850
2019_1101_1341,0.6947
2019_1101_1345,0.0477
2019_1101_1371,0.1721
2019_1101_1385,0.2259
2019_1101_1387,0.2747
2019_1101_1388,0.0465
2019_1101_1393,0.0869
2019_1101_1396,0.2064
2019_1101_1397,0.0378
2019_1101_1403,0.0378
2019_1101_1414,0.2983
2019_1101_1416,0.0866
2019_1101_1429,0.0569
2019_1101_1433,0.0643
2019_1101_1436,0.1886
2019_1101_1437,0.0851
2019_1101_1438,0.0144
2019_1101_1439,0.0405
2019_1101_1449,0.1170
2019_1101_1458,0.0577
2019_1101_1459,0.0764
2019_1101_1463,0.2246
2019_1113_1120,0.1550
2019_1113_1124,0.4382
2019_1113_1125,0.4493
2019_1113_1133,0.8388
2019_1113_1138,0.1675
2019_1113_1153,0.2114
2019_1113_1159,0.7155
2019_1113_1181,0.0233
2019_1113_1192,0.8898
2019_1113_1196,0.3653
2019_1113_1199,0.1965
2019_1113_1205,0.8615
2019_1113_1209,0.7055
2019_1113_1211,0.0217
2019_1113_1222,0.1299
2019_1113_1233,0.8693
2019_1113_1234,0.4900
2019_1113_1235,0.2151
2019_1113_1242,0.1710
2019_1113_1243,0.3608
2019_1113_1246,0.1172
2019_1113_1251,0.6701
2019_1113_1257,0.1936
2019_1113_1261,0.2334
2019_1113_1266,0.2491
2019_1113_1268,0.2911
2019_1113_1276,0.1196
2019_1113_1277,0.0885
2019_1113_1278,0.5536
2019_1113_1279,0.4697
2019_1113_1280,0.2139
2019_1113_1285,0.6422
2019_1113_1293,0.4177
2019_1113_1295,0.8222
2019_1113_1297,0.6712
2019_1113_1300,0.9501
2019_1113_1305,0.1974
2019_1113_1308,0.4441
2019_1113_1314,0.0452
2019_1113_1318,0.5093
2019_1113_1326,0.4379
2019_1113_1328,0.4485
2019_1113_1330,0.6982
2019_1113_1332,0.3013
2019_1113_1341,0.9136
2019_1113_1345,0.1889
2019_1113_1371,0.4912
2019_1113_1385,0.5755
2019_1113_1387,0.6376
2019_1113_1388,0.1847
2019_1113_1393,0.3066
2019_1113_1396,0.5471
2019_1113_1397,0.1542
2019_1113_1403,0.1544
2019_1113_1414,0.6639
2019_1113_1416,0.3057
2019_1113_1429,0.2188
2019_1113_1433,0.2421
2019_1113_1436,0.5192
2019_1113_1437,0.3016
2019_1113_1438,0.0635
2019_1113_1439,0.1641
2019_1113_1449,0.3811
2019_1113_1458,0.2216
2019_1113_1459,0.2775
2019_1113_1463,0.5737
2019_1120_1124,0.8065
2019_1120_1125,0.8134
2019_1120_1133,0.9653
2019_1120_1138,0.5182
2019_1120_1153,0.5889
2019_1120_1159,0.9307
2019_1120_1181,0.1130
2019_1120_1192,0.9773
2019_1120_1196,0.7546
2019_1120_1199,0.5666
2019_1120_1205,0.9708
2019_1120_1209,0.9275
2019_1120_1211,0.1059
2019_1120_1222,0.4438
2019_1120_1233,0.9726
2019_1120_1234,0.8370
2019_1120_1235,0.5943
2019_1120_1242,0.5244
2019_1120_1243,0.7511
2019_1120_1246,0.4151
2019_1120_1251,0.9156
2019_1120_1257,0.5620
2019_1120_1261,0.6194
2019_1120_1266,0.6393
2019_1120_1268,0.6870
2019_1120_1276,0.4207
2019_1120_1277,0.3416
2019_1120_1278,0.8689
2019_1120_1279,0.8256
2019_1120_1280,0.5925
2019_1120_1285,0.9056
2019_1120_1293,0.7931
2019_1120_1295,0.9611
2019_1120_1297,0.9160
2019_1120_1300,0.9903
2019_1120_1305,0.5679
2019_1120_1308,0.8102
2019_1120_1314,0.2018
2019_1120_1318,0.8473
2019_1120_1326,0.8063
2019_1120_1328,0.8130
2019_1120_1330,0.9252
2019_1120_1332,0.6974
2019_1120_1341,0.9826
2019_1120_1345,0.5545
2019_1120_1371,0.8376
2019_1120_1385,0.8787
2019_1120_1387,0.9039
2019_1120_1388,0.5477
2019_1120_1393,0.7026
2019_1120_1396,0.8659
2019_1120_1397,0.4935
2019_1120_1403,0.4939
2019_1120_1414,0.9135
2019_1120_1416,0.7018
2019_1120_1429,0.5995
2019_1120_1433,0.6306
2019_1120_1436,0.8523
2019_1120_1437,0.6977
2019_1120_1438,0.2661
2019_1120_1439,0.5120
2019_1120_1449,0.7669
2019_1120_1458,0.6034
2019_1120_1459,0.6724
2019_1120_1463,0.8779
2019_1124_1125,0.5050
2019_1124_1133,0.8668
2019_1124_1138,0.2011
2019_1124_1153,0.2511
2019_1124_1159,0.7587
2019_1124_1181,0.0290
2019_1124_1192,0.9099
2019_1124_1196,0.4185
2019_1124_1199,0.2342
2019_1124_1205,0.8861
2019_1124_1209,0.7497
2019_1124_1211,0.0270
2019_1124_1222,0.1573
2019_1124_1233,0.8926
2019_1124_1234,0.5458
2019_1124_1235,0.2553
2019_1124_1242,0.2051
2019_1124_1243,0.4138
2019_1124_1246,0.1424
2019_1124_1251,0.7175
2019_1124_1257,0.2309
2019_1124_1261,0.2758
2019_1124_1266,0.2932
2019_1124_1268,0.3393
2019_1124_1276,0.1452
2019_1124_1277,0.1082
2019_1124_1278,0.6080
2019_1124_1279,0.5255
2019_1124_1280,0.2539
2019_1124_1285,0.6918
2019_1124_1293,0.4728
2019_1124_1295,0.8526
2019_1124_1297,0.7185
2019_1124_1300,0.9597
2019_1124_1305,0.2352
2019_1124_1308,0.4998
2019_1124_1314,0.0559
2019_1124_1318,0.5649
2019_1124_1326,0.4935
2019_1124_1328,0.5042
2019_1124_1330,0.7431
2019_1124_1332,0.3504
2019_1124_1341,0.9297
2019_1124_1345,0.2255
2019_1124_1371,0.5470
2019_1124_1385,0.6290
2019_1124_1387,0.6876
2019_1124_1388,0.2208
2019_1124_1393,0.3561
2019_1124_1396,0.6018
2019_1124_1397,0.1857
2019_1124_1403,0.1859
2019_1124_1414,0.7118
2019_1124_1416,0.3551
2019_1124_1429,0.2594
2019_1124_1433,0.2855
2019_1124_1436,0.5745
2019_1124_1437,0.3507
2019_1124_1438,0.0782
2019_1124_1439,0.1971
2019_1124_1449,0.4350
2019_1124_1458,0.2625
2019_1124_1459,0.3245
2019_1124_1463,0.6272
2019_1125_1133,0.8623
2019_1125_1138,0.1950
2019_1125_1153,0.2440
2019_1125_1159,0.7517
2019_1125_1181,0.0279
2019_1125_1192,0.9067
2019_1125_1196,0.4092
2019_1125_1199,0.2274
2019_1125_1205,0.8822
2019_1125_1209,0.7425
2019_1125_1211,0.0260
2019_1125_1222,0.1524
2019_1125_1233,0.8889
2019_1125_1234,0.5363
2019_1125_1235,0.2481
2019_1125_1242,0.1989
2019_1125_1243,0.4046
2019_1125_1246,0.1378
2019_1125_1251,0.7097
2019_1125_1257,0.2242
2019_1125_1261,0.2682
2019_1125_1266,0.2853
2019_1125_1268,0.3308
2019_1125_1276,0.1406
2019_1125_1277,0.1046
2019_1125_1278,0.5989
2019_1125_1279,0.5160
2019_1125_1280,0.2467
2019_1125_1285,0.6836
2019_1125_1293,0.4633
2019_1125_1295,0.8477
2019_1125_1297,0.7108
2019_1125_1300,0.9582
2019_1125_1305,0.2284
2019_1125_1308,0.4902
2019_1125_1314,0.0539
2019_1125_1318,0.5555
2019_1125_1326,0.4840
2019_1125_1328,0.4947
2019_1125_1330,0.7358
2019_1125_1332,0.3417
2019_1125_1341,0.9271
2019_1125_1345,0.2189
2019_1125_1371,0.5375
2019_1125_1385,0.6201
2019_1125_1387,0.6793
2019_1125_1388,0.2143
2019_1125_1393,0.3474
2019_1125_1396,0.5926
2019_1125_1397,0.1800
2019_1125_1403,0.1802
2019_1125_1414,0.7039
2019_1125_1416,0.3465
2019_1125_1429,0.2522
2019_1125_1433,0.2777
2019_1125_1436,0.5652
2019_1125_1437,0.3421
2019_1125_1438,0.0755
2019_1125_1439,0.1911
2019_1125_1449,0.4257
2019_1125_1458,0.2552
2019_1125_1459,0.3162
2019_1125_1463,0.6183
2019_1133_1138,0.0363
2019_1133_1153,0.0477
2019_1133_1159,0.3198
2019_1133_1181,0.0044
2019_1133_1192,0.6014
2019_1133_1196,0.0971
2019_1133_1199,0.0437
2019_1133_1205,0.5378
2019_1133_1209,0.3093
2019_1133_1211,0.0041
2019_1133_1222,0.0272
2019_1133_1233,0.5542
2019_1133_1234,0.1523
2019_1133_1235,0.0488
2019_1133_1242,0.0371
2019_1133_1243,0.0955
2019_1133_1246,0.0242
2019_1133_1251,0.2752
2019_1133_1257,0.0430
2019_1133_1261,0.0539
2019_1133_1266,0.0584
2019_1133_1268,0.0713
2019_1133_1276,0.0248
2019_1133_1277,0.0178
2019_1133_1278,0.1882
2019_1133_1279,0.1421
2019_1133_1280,0.0484
2019_1133_1285,0.2513
2019_1133_1293,0.1182
2019_1133_1295,0.4637
2019_1133_1297,0.2762
2019_1133_1300,0.7808
2019_1133_1305,0.0440
2019_1133_1308,0.1300
2019_1133_1314,0.0088
2019_1133_1318,0.1625
2019_1133_1326,0.1271
2019_1133_1328,0.1320
2019_1133_1330,0.3019
2019_1133_1332,0.0746
2019_1133_1341,0.6641
2019_1133_1345,0.0417
2019_1133_1371,0.1529
2019_1133_1385,0.2022
2019_1133_1387,0.2476
2019_1133_1388,0.0406
2019_1133_1393,0.0764
2019_1133_1396,0.1843
2019_1133_1397,0.0330
2019_1133_1403,0.0330
2019_1133_1414,0.2697
2019_1133_1416,0.0761
2019_1133_1429,0.0498
2019_1133_1433,0.0564
2019_1133_1436,0.1680
2019_1133_1437,0.0747
2019_1133_1438,0.0125
2019_1133_1439,0.0354
2019_1133_1449,0.1032
2019_1133_1458,0.0505
2019_1133_1459,0.0670
2019_1133_1463,0.2010
2019_1138_1153,0.5672
2019_1138_1159,0.9248
2019_1138_1181,0.1044
2019_1138_1192,0.9753
2019_1138_1196,0.7378
2019_1138_1199,0.5446
2019_1138_1205,0.9682
2019_1138_1209,0.9213
2019_1138_1211,0.0977
2019_1138_1222,0.4219
2019_1138_1233,0.9702
2019_1138_1234,0.8245
2019_1138_1235,0.5727
2019_1138_1242,0.5021
2019_1138_1243,0.7340
2019_1138_1246,0.3936
2019_1138_1251,0.9085
2019_1138_1257,0.5400
2019_1138_1261,0.5981
2019_1138_1266,0.6185
2019_1138_1268,0.6675
2019_1138_1276,0.3991
2019_1138_1277,0.3218
2019_1138_1278,0.8584
2019_1138_1279,0.8124
2019_1138_1280,0.5709
2019_1138_1285,0.8977
2019_1138_1293,0.7781
2019_1138_1295,0.9576
2019_1138_1297,0.9089
2019_1138_1300,0.9894
2019_1138_1305,0.5459
2019_1138_1308,0.7961
2019_1138_1314,0.1879
2019_1138_1318,0.8354
2019_1138_1326,0.7920
2019_1138_1328,0.7990
2019_1138_1330,0.9188
2019_1138_1332,0.6783
2019_1138_1341,0.9810
2019_1138_1345,0.5323
2019_1138_1371,0.8252
2019_1138_1385,0.8689
2019_1138_1387,0.8959
2019_1138_1388,0.5255
2019_1138_1393,0.6837
2019_1138_1396,0.8552
2019_1138_1397,0.4713
2019_1138_1403,0.4717
2019_1138_1414,0.9061
2019_1138_1416,0.6828
2019_1138_1429,0.5780
2019_1138_1433,0.6096
2019_1138_1436,0.8407
2019_1138_1437,0.6786
2019_1138_1438,0.2490
2019_1138_1439,0.4897
2019_1138_1449,0.7506
2019_1138_1458,0.5819
2019_1138_1459,0.6525
2019_1138_1463,0.8680
2019_1153_1159,0.9011
2019_1153_1181,0.0795
2019_1153_1192,0.9669
2019_1153_1196,0.6759
2019_1153_1199,0.4699
2019_1153_1205,0.9575
2019_1153_1209,0.8967
2019_1153_1211,0.0743
2019_1153_1222,0.3511
2019_1153_1233,0.9602
2019_1153_1234,0.7769
2019_1153_1235,0.4984
2019_1153_1242,0.4278
2019_1153_1243,0.6717
2019_1153_1246,0.3249
2019_1153_1251,0.8804
2019_1153_1257,0.4653
2019_1153_1261,0.5246
2019_1153_1266,0.5459
2019_1153_1268,0.5981
2019_1153_1276,0.3300
2019_1153_1277,0.2602
2019_1153_1278,0.8180
2019_1153_1279,0.7625
2019_1153_1280,0.4965
2019_1153_1285,0.8668
2019_1153_1293,0.7222
2019_1153_1295,0.9437
2019_1153_1297,0.8809
2019_1153_1300,0.9857
2019_1153_1305,0.4712
2019_1153_1308,0.7433
2019_1153_1314,0.1464
2019_1153_1318,0.7900
2019_1153_1326,0.7385
2019_1153_1328,0.7467
2019_1153_1330,0.8934
2019_1153_1332,0.6098
2019_1153_1341,0.9746
2019_1153_1345,0.4577
2019_1153_1371,0.7777
2019_1153_1385,0.8309
2019_1153_1387,0.8645
2019_1153_1388,0.4509
2019_1153_1393,0.6158
2019_1153_1396,0.8141
2019_1153_1397,0.3979
2019_1153_1403,0.3983
2019_1153_1414,0.8774
2019_1153_1416,0.6148
2019_1153_1429,0.5038
2019_1153_1433,0.5366
2019_1153_1436,0.7965
2019_1153_1437,0.6102
2019_1153_1438,0.1973
2019_1153_1439,0.4157
2019_1153_1449,0.6905
2019_1153_1458,0.5078
2019_1153_1459,0.5819
2019_1153_1463,0.8298
2019_1159_1181,0.0092
2019_1159_1192,0.7585
2019_1159_1196,0.1829
2019_1159_1199,0.0869
2019_1159_1205,0.7077
2019_1159_1209,0.4824
2019_1159_1211,0.0085
2019_1159_1222,0.0549
2019_1159_1233,0.7212
2019_1159_1234,0.2721
2019_1159_1235,0.0964
2019_1159_1242,0.0743
2019_1159_1243,0.1801
2019_1159_1246,0.0491
2019_1159_1251,0.4414
2019_1159_1257,0.0854
2019_1159_1261,0.1059
2019_1159_1266,0.1143
2019_1159_1268,0.1378
2019_1159_1276,0.0502
2019_1159_1277,0.0364
2019_1159_1278,0.3255
2019_1159_1279,0.2563
2019_1159_1280,0.0957
2019_1159_1285,0.4112
2019_1159_1293,0.2182
2019_1159_1295,0.6427
2019_1159_1297,0.4427
2019_1159_1300,0.8811
2019_1159_1305,0.0873
2019_1159_1308,0.2371
2019_1159_1314,0.0181
2019_1159_1318,0.2877
2019_1159_1326,0.2326
2019_1159_1328,0.2404
2019_1159_1330,0.4737
2019_1159_1332,0.1437
2019_1159_1341,0.8044
2019_1159_1345,0.0831
2019_1159_1371,0.2730
2019_1159_1385,0.3453
2019_1159_1387,0.4064
2019_1159_1388,0.0810
2019_1159_1393,0.1468
2019_1159_1396,0.3198
2019_1159_1397,0.0662
2019_1159_1403,0.0663
2019_1159_1414,0.4345
2019_1159_1416,0.1463
2019_1159_1429,0.0983
2019_1159_1433,0.1105
2019_1159_1436,0.2958
2019_1159_1437,0.1439
2019_1159_1438,0.0257
2019_1159_1439,0.0710
2019_1159_1449,0.1932
2019_1159_1458,0.0997
2019_1159_1459,0.1300
2019_1159_1463,0.3436
2019_1181_1192,0.9970
2019_1181_1196,0.9596
2019_1181_1199,0.9098
2019_1181_1205,0.9961
2019_1181_1209,0.9900
2019_1181_1211,0.4774
2019_1181_1222,0.8603
2019_1181_1233,0.9964
2019_1181_1234,0.9754
2019_1181_1235,0.9187
2019_1181_1242,0.8948
2019_1181_1243,0.9588
2019_1181_1246,0.8455
2019_1181_1251,0.9882
2019_1181_1257,0.9083
2019_1181_1261,0.9262
2019_1181_1266,0.9319
2019_1181_1268,0.9442
2019_1181_1276,0.8485
2019_1181_1277,0.8001
2019_1181_1278,0.9808
2019_1181_1279,0.9733
2019_1181_1280,0.9182
2019_1181_1285,0.9867
2019_1181_1293,0.9673
2019_1181_1295,0.9948
2019_1181_1297,0.9883
2019_1181_1300,0.9987
2019_1181_1305,0.9102
2019_1181_1308,0.9705
2019_1181_1314,0.6611
2019_1181_1318,0.9772
2019_1181_1326,0.9698
2019_1181_1328,0.9710
2019_1181_1330,0.9896
2019_1181_1332,0.9468
2019_1181_1341,0.9977
2019_1181_1345,0.9057
2019_1181_1371,0.9755
2019_1181_1385,0.9824
2019_1181_1387,0.9864
2019_1181_1388,0.9033
2019_1181_1393,0.9480
2019_1181_1396,0.9803
2019_1181_1397,0.8826
2019_1181_1403,0.8827
2019_1181_1414,0.9879
2019_1181_1416,0.9478
2019_1181_1429,0.9203
2019_1181_1433,0.9294
2019_1181_1436,0.9780
2019_1181_1437,0.9468
2019_1181_1438,0.7366
2019_1181_1439,0.8900
2019_1181_1449,0.9621
2019_1181_1458,0.9215
2019_1181_1459,0.9406
2019_1181_1463,0.9823
2019_1192_1196,0.0653
2019_1192_1199,0.0288
2019_1192_1205,0.4302
2019_1192_1209,0.2252
2019_1192_1211,0.0027
2019_1192_1222,0.0178
2019_1192_1233,0.4465
2019_1192_1234,0.1044
2019_1192_1235,0.0322
2019_1192_1242,0.0244
2019_1192_1243,0.0641
2019_1192_1246,0.0159
2019_1192_1251,0.1977
2019_1192_1257,0.0283
2019_1192_1261,0.0356
2019_1192_1266,0.0387
2019_1192_1268,0.0475
2019_1192_1276,0.0162
2019_1192_1277,0.0116
2019_1192_1278,0.1308
2019_1192_1279,0.0970
2019_1192_1280,0.0320
2019_1192_1285,0.1789
2019_1192_1293,0.0801
2019_1192_1295,0.3594
2019_1192_1297,0.1985
2019_1192_1300,0.6981
2019_1192_1305,0.0290
2019_1192_1308,0.0884
2019_1192_1314,0.0057
2019_1192_1318,0.1119
2019_1192_1326,0.0864
2019_1192_1328,0.0898
2019_1192_1330,0.2192
2019_1192_1332,0.0497
2019_1192_1341,0.5620
2019_1192_1345,0.0275
2019_1192_1371,0.1049
2019_1192_1385,0.1413
2019_1192_1387,0.1760
2019_1192_1388,0.0268
2019_1192_1393,0.0509
2019_1192_1396,0.1279
2019_1192_1397,0.0216
2019_1192_1403,0.0217
2019_1192_1414,0.1933
2019_1192_1416,0.0507
2019_1192_1429,0.0329
2019_1192_1433,0.0373
2019_1192_1436,0.1158
2019_1192_1437,0.0498
2019_1192_1438,0.0082
2019_1192_1439,0.0233
2019_1192_1449,0.0695
2019_1192_1458,0.0334
2019_1192_1459,0.0445
2019_1192_1463,0.1404
2019_1196_1199,0.2918
2019_1196_1205,0.9129
2019_1196_1209,0.8014
2019_1196_1211,0.0360
2019_1196_1222,0.2010
2019_1196_1233,0.9181
2019_1196_1234,0.6182
2019_1196_1235,0.3159
2019_1196_1242,0.2579
2019_1196_1243,0.4875
2019_1196_1246,0.1828
2019_1196_1251,0.7739
2019_1196_1257,0.2881
2019_1196_1261,0.3391
2019_1196_1266,0.3585
2019_1196_1268,0.4090
2019_1196_1276,0.1863
2019_1196_1277,0.1406
2019_1196_1278,0.6763
2019_1196_1279,0.5988
2019_1196_1280,0.3144
2019_1196_1285,0.7515
2019_1196_1293,0.5472
2019_1196_1295,0.8862
2019_1196_1297,0.7747
2019_1196_1300,0.9698
2019_1196_1305,0.2929
2019_1196_1308,0.5738
2019_1196_1314,0.0738
2019_1196_1318,0.6362
2019_1196_1326,0.5676
2019_1196_1328,0.5781
2019_1196_1330,0.7958
2019_1196_1332,0.4208
2019_1196_1341,0.9468
2019_1196_1345,0.2818
2019_1196_1371,0.6193
2019_1196_1385,0.6955
2019_1196_1387,0.7478
2019_1196_1388,0.2763
2019_1196_1393,0.4269
2019_1196_1396,0.6706
2019_1196_1397,0.2350
2019_1196_1403,0.2353
2019_1196_1414,0.7689
2019_1196_1416,0.4260
2019_1196_1429,0.3206
2019_1196_1433,0.3499
2019_1196_1436,0.6453
2019_1196_1437,0.4212
2019_1196_1438,0.1026
2019_1196_1439,0.2486
2019_1196_1449,0.5092
2019_1196_1458,0.3241
2019_1196_1459,0.3929
2019_1196_1463,0.6939
2019_1199_1205,0.9613
2019_1199_1209,0.9054
2019_1199_1211,0.0813
2019_1199_1222,0.3737
2019_1199_1233,0.9637
2019_1199_1234,0.7934
2019_1199_1235,0.5228
2019_1199_1242,0.4519
2019_1199_1243,0.6929
2019_1199_1246,0.3466
2019_1199_1251,0.8903
2019_1199_1257,0.4897
2019_1199_1261,0.5489
2019_1199_1266,0.5700
2019_1199_1268,0.6214
2019_1199_1276,0.3519
2019_1199_1277,0.2795
2019_1199_1278,0.8321
2019_1199_1279,0.7797
2019_1199_1280,0.5209
2019_1199_1285,0.8776
